OID_,vh_raw,vv_raw,zonal_0304_10m_p5,zonal_0304_10m_p25,zonal_0304_10m_p75,zonal_0304_10m_p95,Point_ID,S1_pixel_ID,orig_S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var,zonal_0304_5m_p95_max,zonal_0304_5m_p95_min,zonal_0304_5m_p95_mean,zonal_0304_5m_p5_max,zonal_0304_5m_p5_min,zonal_0304_5m_p5_mean,zonal_0304_5m_range_max,zonal_0304_5m_range_min,zonal_0304_5m_range_mean,zonal_0304_5m_min_max,zonal_0304_5m_min_mean,zonal_0304_5m_med_max,zonal_0304_5m_med_min,zonal_0304_5m_med_mean,zonal_0304_5m_max_min,zonal_0304_5m_max_mean,zonal_0304_2m_max_min,zonal_0304_2m_max_mean,zonal_0304_2m_med_max,zonal_0304_2m_med_min,zonal_0304_2m_med_mean,zonal_0304_2m_min_max,zonal_0304_2m_min_mean,zonal_0304_2m_range_max,zonal_0304_2m_range_min,zonal_0304_2m_range_mean,zonal_0304_2m_p5_max,zonal_0304_2m_p5_min,zonal_0304_2m_p5_mean,zonal_0304_2m_p95_max,zonal_0304_2m_p95_min,zonal_0304_2m_p95_mean,zonal_0304_1m_p95_max,zonal_0304_1m_p95_min,zonal_0304_1m_p95_mean,zonal_0304_1m_p5_max,zonal_0304_1m_p5_min,zonal_0304_1m_p5_mean,zonal_0304_1m_range_max,zonal_0304_1m_range_min,zonal_0304_1m_range_mean,zonal_0304_1m_min_max,zonal_0304_1m_min_mean,zonal_0304_1m_med_max,zonal_0304_1m_med_min,zonal_0304_1m_med_mean,zonal_0304_1m_max_min,zonal_0304_1m_max_mean,zonal_0304_50cm_max_min,zonal_0304_50cm_max_mean,zonal_0304_50cm_med_max,zonal_0304_50cm_med_min,zonal_0304_50cm_med_mean,zonal_0304_50cm_min_max,zonal_0304_50cm_min_mean,zonal_0304_50cm_range_max,zonal_0304_50cm_range_min,zonal_0304_50cm_range_mean,zonal_0304_50cm_p5_max,zonal_0304_50cm_p5_min,zonal_0304_50cm_p5_mean,zonal_0304_50cm_p95_max,zonal_0304_50cm_p95_min,zonal_0304_50cm_p95_mean,zonal_0304_25cm_max_1_min,zonal_0304_25cm_max_1_mean,zonal_0304_25cm_med_1_max,zonal_0304_25cm_med_1_min,zonal_0304_25cm_med_1_mean,zonal_0304_25cm_min_1_max,zonal_0304_25cm_min_1_mean,zonal_0304_25cm_range_1_max,zonal_0304_25cm_range_1_min,zonal_0304_25cm_range_1_mean,zonal_0304_25cm_p5_1_max,zonal_0304_25cm_p5_1_min,zonal_0304_25cm_p5_1_mean,zonal_0304_25cm_p95_1_max,zonal_0304_25cm_p95_1_min,zonal_0304_25cm_p95_1_mean,zonal_0304_10m_range,zonal_0304_10m_min,zonal_0304_10m_med,zonal_0304_10m_max
1,0.0034421,0.0630189,0.0008787,0.0014781,0.0032638,0.0054604,1,1566,1516,1,62,1922,26.4638882,0.8462086,433.2527771,0.0060137,0.004913,0.0054408,0.0009623,0.0008259,0.0008825,0.0169663,0.0110267,0.0142062,0.0002131,0.0001352,0.0024116,0.001948,0.0021478,0.0111791,0.0143414,0.0073624,0.0111844,0.0026721,0.0018529,0.0021571,0.0003939,0.0002559,0.0167321,0.0070732,0.0109285,0.0010477,0.000763,0.0008904,0.0071591,0.0044225,0.0054472,0.00872,0.0036394,0.0053804,0.00124,0.0006618,0.0009046,0.0166504,0.0047513,0.0087034,0.0005702,0.0003611,0.0031605,0.0015966,0.0021867,0.0050816,0.0090645,0.0033639,0.0072696,0.0040626,0.0012562,0.0022344,0.0011382,0.000516,0.0166504,0.0028094,0.0067536,0.0016373,0.0005477,0.0009389,0.0103796,0.002404,0.0052229,0.0019847,0.0056969,0.0060256,0.0009034,0.002318,0.0018805,0.0007247,0.0163333,0.0014683,0.0049722,0.0024092,0.0004259,0.0010263,0.013497,0.0017879,0.004801,0.0169893,0.0000759,0.0021308,0.0170652
2,0.0045191,0.0635935,0.0008414,0.001421,0.0031313,0.0052666,2,1089,964,1,62,1922,25.7833328,0.8454098,437.1055603,0.0063288,0.0044748,0.0052328,0.0009269,0.0007985,0.0008487,0.0139885,0.0106169,0.0126836,0.0002148,0.0001807,0.0024195,0.0018528,0.0020888,0.0108262,0.0128643,0.0072562,0.0102838,0.0031967,0.0016318,0.0021256,0.0004051,0.0002687,0.0139276,0.0069581,0.0100152,0.0010075,0.0007416,0.0008578,0.0077542,0.0036313,0.0051681,0.0092319,0.0033128,0.0050724,0.0013695,0.0007032,0.000885,0.0139276,0.0051442,0.0081907,0.0006453,0.0003621,0.0041213,0.0015249,0.002155,0.005498,0.0085529,0.0028335,0.0068106,0.0048569,0.0011668,0.0021956,0.0011649,0.0005011,0.0136446,0.0023418,0.0063095,0.0018977,0.0006036,0.0009223,0.010004,0.0023135,0.0049219,0.0016952,0.0053223,0.0068043,0.0009549,0.0022714,0.0024877,0.0007291,0.0136446,0.0011798,0.0045933,0.0029211,0.0003734,0.0010237,0.0129809,0.001613,0.0045152,0.0141132,0.000087,0.0020694,0.0142002
3,0.0028542,0.0521537,0.0008323,0.0013681,0.0029596,0.0049437,3,1124,1633,1,62,1922,24.0499992,0.8249956,375.1333313,0.0056805,0.0045305,0.0049009,0.0009132,0.0008046,0.0008389,0.015139,0.011188,0.0135492,0.0001697,0.0001258,0.0023268,0.0018477,0.0019991,0.0113444,0.013675,0.0069964,0.0102046,0.0028383,0.0016498,0.0020192,0.000406,0.0002557,0.0150744,0.0067124,0.0099489,0.0010877,0.0007324,0.0008521,0.0064813,0.0037975,0.004837,0.0071128,0.0031245,0.0047958,0.0012618,0.0006876,0.0008615,0.0150335,0.0047044,0.0078899,0.0006363,0.0003659,0.0032735,0.0014456,0.0020335,0.0049598,0.0082558,0.0026241,0.0065069,0.0042819,0.0011849,0.0020781,0.0010332,0.0004966,0.0145976,0.0022195,0.0060104,0.0014358,0.0005383,0.0008904,0.0122003,0.0021933,0.0046412,0.0014029,0.0050774,0.0054942,0.0008552,0.0021489,0.0018716,0.0006962,0.0141349,0.0009214,0.0043813,0.0025145,0.0004171,0.0009806,0.0141236,0.0012697,0.0042949,0.0151624,0.0000767,0.0019796,0.0152391
4,0.0067381,0.0500853,0.000728,0.0011781,0.0022317,0.004086,4,1749,1560,1,62,1922,23.4750004,0.8182735,377.0472107,0.0051554,0.0031288,0.0040332,0.0007765,0.0006971,0.0007341,0.0234955,0.006603,0.0117045,0.0001365,0.0000833,0.00186,0.0015173,0.0016825,0.0066512,0.0117878,0.0048045,0.0073502,0.0027589,0.0013636,0.0017149,0.0003517,0.0002254,0.0232722,0.0045763,0.0071247,0.0009637,0.0006479,0.0007459,0.007406,0.0025286,0.0038401,0.0098773,0.0020759,0.0037135,0.0013927,0.0005958,0.000763,0.0230307,0.0024406,0.0057345,0.0005483,0.0003239,0.0042064,0.0012323,0.0017415,0.002775,0.0060584,0.0022993,0.0049202,0.0052267,0.0009952,0.0017629,0.0010915,0.0004426,0.0224569,0.0018909,0.0044776,0.0017532,0.0004646,0.0007914,0.0142261,0.0017727,0.0035866,0.0015722,0.0038891,0.0069878,0.0007068,0.0017955,0.0026216,0.000645,0.0223125,0.0011243,0.0032441,0.0030541,0.0002963,0.0008836,0.0169521,0.0011971,0.0032937,0.0235001,0.0000483,0.0016717,0.0235484
5,0.0040028,0.0426939,0.0007364,0.0012114,0.0023736,0.0043678,5,1434,709,1,62,1922,21.7472229,0.7924342,319.5639038,0.0046837,0.0032932,0.0042246,0.0008133,0.0006724,0.0007501,0.0121479,0.0082559,0.0103878,0.0001682,0.000106,0.0019187,0.0014842,0.0017366,0.0084241,0.0104938,0.0042762,0.0077464,0.0020678,0.0012892,0.0017436,0.0003533,0.0002269,0.0118991,0.004108,0.0075195,0.0008579,0.0006158,0.0007597,0.0054406,0.0023921,0.0040982,0.0074144,0.0021234,0.0039889,0.0010714,0.0005412,0.0007742,0.0117331,0.0025672,0.0060106,0.000589,0.0003266,0.0028122,0.0011549,0.0017663,0.0028645,0.0063372,0.0020561,0.0051793,0.0040674,0.0009364,0.0017953,0.0008672,0.0004531,0.0113863,0.0017501,0.0047262,0.0014905,0.0004764,0.0008064,0.0094633,0.0015052,0.0038469,0.0011284,0.0041296,0.0068402,0.0006956,0.00185,0.0018764,0.0006489,0.0110749,0.0008472,0.0034807,0.0021287,0.0003472,0.0008943,0.0109855,0.0010511,0.0035249,0.0121479,0.0000586,0.0017282,0.0122065
6,0.0058271,0.1298974,0.0007586,0.0012637,0.0026922,0.0050911,6,949,1223,1,62,1922,24.2611103,0.8332887,414.3555603,0.0063602,0.0040529,0.0050562,0.0007847,0.0007285,0.0007592,0.017298,0.0108089,0.0142166,0.0002056,0.0001337,0.002027,0.0016657,0.0018409,0.0108628,0.0143503,0.0045964,0.0092677,0.0030044,0.0013929,0.0019098,0.0003936,0.0002436,0.0171468,0.004349,0.009024,0.0010864,0.000631,0.0007839,0.0081077,0.0030656,0.0048565,0.0115237,0.0023135,0.004598,0.001463,0.0005914,0.0008152,0.0171063,0.0033937,0.0069413,0.0006545,0.0003453,0.0043079,0.0012132,0.0019769,0.0037772,0.0072866,0.0023174,0.00575,0.0070377,0.0011177,0.0020382,0.0012935,0.0004798,0.0170517,0.0019754,0.0052702,0.0024541,0.0004434,0.0008697,0.0145251,0.0019418,0.0043036,0.0014331,0.004526,0.0102395,0.0007611,0.0021033,0.0050206,0.0007315,0.0169171,0.0009198,0.0037945,0.0065625,0.0002852,0.0010065,0.0163314,0.0013485,0.0038858,0.0173583,0.0000539,0.001831,0.0174122
7,0.0059955,0.1061748,0.0007976,0.0013743,0.0035633,0.0090014,7,2293,1387,1,62,1922,21.7027779,0.7967478,331.402771,0.0131484,0.0047133,0.0085396,0.0008717,0.0007542,0.000805,0.0675099,0.0099058,0.0358771,0.0002523,0.000199,0.0025837,0.0018344,0.0021163,0.0100002,0.0360761,0.0056826,0.0179925,0.0059529,0.0014558,0.0023868,0.0004228,0.0002867,0.0674303,0.0054051,0.0177058,0.0015813,0.0006704,0.0008558,0.022962,0.0036003,0.007809,0.0314832,0.0020806,0.0073126,0.0020127,0.0005985,0.0009061,0.0674085,0.0031852,0.0123702,0.0009208,0.0003719,0.0086775,0.0012115,0.0025479,0.0034647,0.0127421,0.0022261,0.0089324,0.0147466,0.0009633,0.0027328,0.0053895,0.000571,0.0668995,0.0018751,0.0083614,0.0066947,0.0005008,0.0010467,0.0484749,0.001725,0.0064434,0.0014895,0.0065673,0.0267774,0.0008377,0.0028804,0.0127519,0.0009359,0.0661215,0.0009576,0.0056314,0.0133395,0.0003556,0.0013004,0.061086,0.0013619,0.0055864,0.0676678,0.0000944,0.0020223,0.0677622
8,0.0037351,0.0974467,0.0006966,0.001096,0.0021522,0.0039916,8,558,2475,1,62,1922,20.0305557,0.7608495,279.5194397,0.0052726,0.002927,0.0037634,0.0008121,0.0006419,0.0007101,0.0158098,0.006265,0.0105207,0.0002013,0.0001375,0.0019849,0.0013471,0.001588,0.006315,0.0106582,0.0042935,0.0074638,0.0025674,0.0011946,0.0016164,0.0003512,0.0002532,0.0156703,0.0041253,0.0072106,0.0009454,0.0005788,0.0007227,0.0068655,0.002184,0.0036778,0.008255,0.0019359,0.0036027,0.0011505,0.0005514,0.000734,0.0154432,0.0023488,0.0057518,0.0005586,0.0003276,0.0031181,0.0010711,0.0016346,0.0026202,0.0060793,0.00202,0.004825,0.0043367,0.0009374,0.0016625,0.000909,0.0004274,0.0153972,0.0016694,0.0043976,0.0015408,0.0004842,0.0007594,0.0108489,0.001658,0.0034729,0.0012173,0.0037401,0.00692,0.000743,0.0017135,0.0020335,0.0006036,0.0151551,0.0009251,0.0031365,0.0030214,0.0003929,0.0008378,0.0129157,0.0011042,0.003178,0.0159514,0.00005,0.0015477,0.0160014
9,0.0040275,0.0871226,0.000752,0.0012646,0.0034033,0.0081907,9,1409,2318,0.9999956,61.9916649,1921.491699,22.708334,0.8303668,365.347229,0.0127227,0.004065,0.0071896,0.0009998,0.0006977,0.0007892,0.0328447,0.0092282,0.0202313,0.0002077,0.0001478,0.003901,0.001578,0.0022401,0.0094318,0.0203791,0.0047216,0.01315,0.0055189,0.0012488,0.0023722,0.0004401,0.0002711,0.0328447,0.004475,0.0128788,0.0015169,0.0006185,0.0008476,0.0150675,0.0027072,0.0065231,0.018839,0.0021934,0.0062486,0.0019904,0.0006016,0.0008878,0.0323996,0.0030696,0.0097464,0.0008469,0.0003729,0.0071491,0.0011195,0.0024539,0.0033453,0.0101192,0.0023609,0.0075863,0.013083,0.0009569,0.0025709,0.0022939,0.0005282,0.0321099,0.0020141,0.0070581,0.0043271,0.0004627,0.0009889,0.024975,0.0017487,0.0056708,0.0015259,0.0057241,0.0175981,0.000789,0.0026969,0.0099252,0.0008795,0.0306045,0.0010091,0.0048446,0.0112584,0.0003806,0.0012348,0.0293016,0.0012811,0.0049186,0.0329469,0.0000389,0.0019042,0.0329858
10,0.0040816,0.1199396,0.0007121,0.0011597,0.0025524,0.0054385,10,551,41,0.9999956,61.9916649,1921.491699,20.2611103,0.7931768,289.8611145,0.0076063,0.0033389,0.0052751,0.0008128,0.0006556,0.0007238,0.0330421,0.006806,0.0176296,0.0002044,0.0001195,0.0022439,0.0014347,0.0017501,0.0068819,0.0177491,0.005129,0.0098862,0.0043532,0.0012234,0.0018913,0.0005406,0.0002404,0.0327059,0.0048422,0.0096458,0.0013519,0.0006083,0.0007678,0.0135605,0.0027113,0.004845,0.0178318,0.001861,0.0045795,0.0018673,0.0005311,0.0007946,0.0326886,0.0032667,0.0071329,0.0005987,0.000335,0.0066719,0.0010065,0.0019444,0.0035125,0.0074679,0.0019851,0.0056389,0.0121,0.0008771,0.0020316,0.001956,0.0004799,0.0316309,0.0016246,0.005159,0.0042532,0.0004195,0.0008597,0.0225938,0.0016861,0.0042169,0.0013366,0.0043279,0.0167401,0.0006557,0.0021133,0.009683,0.0007541,0.0316309,0.0008863,0.0035738,0.0112694,0.0003179,0.0010269,0.0282373,0.0011402,0.003737,0.0331836,0.0000629,0.001695,0.0332465
